path,label,camera,filename,split
../../data/non_violent/cam1/3.mp4,non_attack,cam1,3.mp4,train
../../data/non_violent/cam2/1.mp4,non_attack,cam2,1.mp4,train
../../data/non_violent/cam2/6.mp4,non_attack,cam2,6.mp4,train
../../data/non_violent/cam1/31.mp4,non_attack,cam1,31.mp4,train
../../data/violent/cam2/70.mp4,attack,cam2,70.mp4,train
../../data/non_violent/cam2/46.mp4,non_attack,cam2,46.mp4,train
../../data/violent/cam2/50.mp4,attack,cam2,50.mp4,train
../../data/violent/cam1/80.mp4,attack,cam1,80.mp4,train
../../data/violent/cam2/61.mp4,attack,cam2,61.mp4,train
../../data/violent/cam1/102.mp4,attack,cam1,102.mp4,train
../../data/non_violent/cam1/33.mp4,non_attack,cam1,33.mp4,train
../../data/violent/cam2/27.mp4,attack,cam2,27.mp4,train
../../data/violent/cam2/88.mp4,attack,cam2,88.mp4,train
../../data/violent/cam2/86.mp4,attack,cam2,86.mp4,train
../../data/non_violent/cam1/22.mp4,non_attack,cam1,22.mp4,train
../../data/violent/cam1/10.mp4,attack,cam1,10.mp4,train
../../data/violent/cam2/54.mp4,attack,cam2,54.mp4,train
../../data/non_violent/cam1/54.mp4,non_attack,cam1,54.mp4,train
../../data/non_violent/cam1/19.mp4,non_attack,cam1,19.mp4,train
../../data/non_violent/cam2/47.mp4,non_attack,cam2,47.mp4,train
../../data/violent/cam1/21.mp4,attack,cam1,21.mp4,train
../../data/violent/cam1/99.mp4,attack,cam1,99.mp4,train
../../data/violent/cam2/14.mp4,attack,cam2,14.mp4,train
../../data/violent/cam1/35.mp4,attack,cam1,35.mp4,train
../../data/non_violent/cam1/32.mp4,non_attack,cam1,32.mp4,train
../../data/violent/cam1/45.mp4,attack,cam1,45.mp4,train
../../data/violent/cam1/5.mp4,attack,cam1,5.mp4,train
../../data/non_violent/cam2/45.mp4,non_attack,cam2,45.mp4,train
../../data/violent/cam2/58.mp4,attack,cam2,58.mp4,train
../../data/non_violent/cam1/43.mp4,non_attack,cam1,43.mp4,train
../../data/violent/cam2/38.mp4,attack,cam2,38.mp4,train
../../data/non_violent/cam2/36.mp4,non_attack,cam2,36.mp4,train
../../data/non_violent/cam2/33.mp4,non_attack,cam2,33.mp4,train
../../data/violent/cam1/26.mp4,attack,cam1,26.mp4,train
../../data/violent/cam2/32.mp4,attack,cam2,32.mp4,train
../../data/violent/cam1/48.mp4,attack,cam1,48.mp4,train
../../data/violent/cam1/63.mp4,attack,cam1,63.mp4,train
../../data/violent/cam1/57.mp4,attack,cam1,57.mp4,train
../../data/non_violent/cam1/29.mp4,non_attack,cam1,29.mp4,train
../../data/violent/cam1/87.mp4,attack,cam1,87.mp4,train
../../data/violent/cam2/87.mp4,attack,cam2,87.mp4,train
../../data/violent/cam1/91.mp4,attack,cam1,91.mp4,train
../../data/violent/cam2/20.mp4,attack,cam2,20.mp4,train
../../data/non_violent/cam2/11.mp4,non_attack,cam2,11.mp4,train
../../data/violent/cam1/41.mp4,attack,cam1,41.mp4,train
../../data/non_violent/cam1/13.mp4,non_attack,cam1,13.mp4,train
../../data/non_violent/cam2/60.mp4,non_attack,cam2,60.mp4,train
../../data/non_violent/cam1/11.mp4,non_attack,cam1,11.mp4,train
../../data/violent/cam2/93.mp4,attack,cam2,93.mp4,train
../../data/violent/cam2/44.mp4,attack,cam2,44.mp4,train
../../data/violent/cam1/4.mp4,attack,cam1,4.mp4,train
../../data/violent/cam2/85.mp4,attack,cam2,85.mp4,train
../../data/violent/cam1/66.mp4,attack,cam1,66.mp4,train
../../data/non_violent/cam1/38.mp4,non_attack,cam1,38.mp4,train
../../data/violent/cam1/59.mp4,attack,cam1,59.mp4,train
../../data/violent/cam2/33.mp4,attack,cam2,33.mp4,train
../../data/violent/cam1/25.mp4,attack,cam1,25.mp4,train
../../data/non_violent/cam2/9.mp4,non_attack,cam2,9.mp4,train
../../data/non_violent/cam1/55.mp4,non_attack,cam1,55.mp4,train
../../data/violent/cam1/105.mp4,attack,cam1,105.mp4,train
../../data/violent/cam1/32.mp4,attack,cam1,32.mp4,train
../../data/violent/cam2/91.mp4,attack,cam2,91.mp4,train
../../data/non_violent/cam2/53.mp4,non_attack,cam2,53.mp4,train
../../data/violent/cam1/18.mp4,attack,cam1,18.mp4,train
../../data/non_violent/cam1/41.mp4,non_attack,cam1,41.mp4,train
../../data/non_violent/cam1/49.mp4,non_attack,cam1,49.mp4,train
../../data/violent/cam1/76.mp4,attack,cam1,76.mp4,train
../../data/non_violent/cam1/16.mp4,non_attack,cam1,16.mp4,train
../../data/violent/cam2/17.mp4,attack,cam2,17.mp4,train
../../data/non_violent/cam1/45.mp4,non_attack,cam1,45.mp4,train
../../data/violent/cam2/55.mp4,attack,cam2,55.mp4,train
../../data/violent/cam1/83.mp4,attack,cam1,83.mp4,train
../../data/violent/cam2/92.mp4,attack,cam2,92.mp4,train
../../data/violent/cam1/49.mp4,attack,cam1,49.mp4,train
../../data/non_violent/cam1/9.mp4,non_attack,cam1,9.mp4,train
../../data/non_violent/cam2/59.mp4,non_attack,cam2,59.mp4,train
../../data/violent/cam2/99.mp4,attack,cam2,99.mp4,train
../../data/violent/cam2/31.mp4,attack,cam2,31.mp4,train
../../data/violent/cam1/3.mp4,attack,cam1,3.mp4,train
../../data/violent/cam1/72.mp4,attack,cam1,72.mp4,train
../../data/non_violent/cam2/52.mp4,non_attack,cam2,52.mp4,train
../../data/violent/cam2/101.mp4,attack,cam2,101.mp4,train
../../data/violent/cam1/31.mp4,attack,cam1,31.mp4,train
../../data/violent/cam2/68.mp4,attack,cam2,68.mp4,train
../../data/non_violent/cam2/13.mp4,non_attack,cam2,13.mp4,train
../../data/violent/cam2/51.mp4,attack,cam2,51.mp4,train
../../data/violent/cam2/40.mp4,attack,cam2,40.mp4,train
../../data/non_violent/cam1/8.mp4,non_attack,cam1,8.mp4,train
../../data/non_violent/cam2/19.mp4,non_attack,cam2,19.mp4,train
../../data/non_violent/cam2/25.mp4,non_attack,cam2,25.mp4,train
../../data/non_violent/cam1/50.mp4,non_attack,cam1,50.mp4,train
../../data/violent/cam1/93.mp4,attack,cam1,93.mp4,train
../../data/violent/cam2/107.mp4,attack,cam2,107.mp4,train
../../data/non_violent/cam1/56.mp4,non_attack,cam1,56.mp4,train
../../data/violent/cam2/39.mp4,attack,cam2,39.mp4,train
../../data/non_violent/cam2/38.mp4,non_attack,cam2,38.mp4,train
../../data/non_violent/cam2/34.mp4,non_attack,cam2,34.mp4,train
